Angular Diameter Distance (Mpc), Luminosity Distance (Mpc), Comoving Radial Distance (Mpc), Comoving Transverse Distance (Mpc)
1065.65,1932.66,1438.27,1435.11
1495.21,3997.02,2460.44,2444.66
1780.75,17223.2,5736.34,5538.07
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1361.03,3156.94,2082.41,2072.84
1813.24,9253.09,4172.8,4096.1
1813.24,9253.09,4172.8,4096.1
1813.24,9253.09,4172.8,4096.1
1671.12,5731.77,3127.27,3094.91
1671.12,5731.77,3127.27,3094.91
1671.12,5731.77,3127.27,3094.91
1422.86,3511.69,2247.35,2235.32
141.266,150.744,145.931,145.928
141.266,150.744,145.931,145.928
141.266,150.744,145.931,145.928
1786.5,16837.6,5676.76,5484.57
1786.5,16837.6,5676.76,5484.57
1681.77,5880.99,3178.9,3144.91
1015.36,1776.15,1345.5,1342.92
1491,3966.3,2447.35,2431.82
1491,3966.3,2447.35,2431.82
1491,3966.3,2447.35,2431.82
1491,3966.3,2447.35,2431.82
1491,3966.3,2447.35,2431.82
886.048,1420.12,1123.24,1121.74
1791.53,8265.94,3911.41,3848.2
637.612,878.805,749.002,748.556
1764.24,18269.6,5892.05,5677.32
979.117,1670.02,1280.96,1278.73
1823.18,9974.48,4351.35,4264.42
1753.98,7186.88,3599.76,3550.45
1555.49,4479.5,2659.58,2639.66
1555.49,4479.5,2659.58,2639.66
1555.49,4479.5,2659.58,2639.66
1555.49,4479.5,2659.58,2639.66
1555.49,4479.5,2659.58,2639.66
1811.87,9173.96,4152.6,4077.01
1811.87,9173.96,4152.6,4077.01
1110.59,2082.65,1524.61,1520.85
1451.28,3692.1,2328.17,2314.79
1694.07,6063.77,3241.08,3205.06
1799.68,8584.22,3997.99,3930.51
1799.68,8584.22,3997.99,3930.51
1811.84,9172.44,4152.21,4076.64
1225.73,2518.66,1762.85,1757.04
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
587.692,787.53,680.647,680.313
1378.46,3252.19,2127.52,2117.31
1378.46,3252.19,2127.52,2117.31
1743.49,6953.06,3528.19,3481.75
1743.49,6953.06,3528.19,3481.75
1700.52,6164.77,3274.96,3237.8
1700.52,6164.77,3274.96,3237.8
1814.82,14615.6,5307.49,5150.21
1463.78,3775.43,2364.84,2350.83
1829.02,10685,4518.01,4420.75
1828.05,10529.5,4482.29,4387.31
1828.05,10529.5,4482.29,4387.31
1828.05,10529.5,4482.29,4387.31
1828.05,10529.5,4482.29,4387.31
1817.12,14389.7,5267.24,5113.49
1817.12,14389.7,5267.24,5113.49
1449.44,3680.02,2322.82,2309.54
1449.44,3680.02,2322.82,2309.54
1449.44,3680.02,2322.82,2309.54
1449.44,3680.02,2322.82,2309.54
1480.3,3889.71,2414.49,2399.57
1699.47,6148.01,3269.36,3232.39
1699.47,6148.01,3269.36,3232.39
1542.65,4369.55,2615.23,2596.29
1542.65,4369.55,2615.23,2596.29
1524.53,4221.26,2554.47,2536.81
1550.95,4440.17,2643.78,2624.21
1550.95,4440.17,2643.78,2624.21
1784.11,8010.94,3840.37,3780.53
1784.11,8010.94,3840.37,3780.53
970.18,1644.65,1265.32,1263.17
970.18,1644.65,1265.32,1263.17
1823.66,13651.3,5131.78,4989.53
1823.66,13651.3,5131.78,4989.53
1823.66,13651.3,5131.78,4989.53
1330.3,2997.18,2005.34,1996.79
1330.3,2997.18,2005.34,1996.79
1816.68,9468.69,4227.2,4147.48
1803.57,15589.3,5475.04,5302.49
1803.57,15589.3,5475.04,5302.49
1803.57,15589.3,5475.04,5302.49
1729.26,20309,6172.84,5926.19
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
282.022,322.043,301.398,301.369
1771.61,7635.25,3732.83,3677.87
1785.71,8063.6,3855.16,3794.63
1828.29,10566.1,4490.72,4395.21
1831.61,12003.7,4805.89,4688.93
1758.61,7297.12,3632.97,3582.29
1758.61,7297.12,3632.97,3582.29
1758.61,7297.12,3632.97,3582.29
1758.61,7297.12,3632.97,3582.29
1492.05,3973.97,2450.62,2435.03
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
1675.32,5789.71,3147.41,3114.42
